;;;weiblich;männlich;
1999;Kaposi-Syndrom (C46);60 - 64;8;1;
1999;Kaposi-Syndrom (C46);65 - 69;8;1;
1999;Kaposi-Syndrom (C46);70 - 74;0;1;
1999;Kaposi-Syndrom (C46);75 - 79;0;6;
1999;Kaposi-Syndrom (C46);80 - 84;0;0;
1999;Kaposi-Syndrom (C46);85+;0;0;
1999;periphere Nerven u. autonomes Nervensystem (C47);0 - 4;22;32;
1999;periphere Nerven u. autonomes Nervensystem (C47);5 - 9;6;3;
1999;periphere Nerven u. autonomes Nervensystem (C47);10 - 14;1;1;
1999;periphere Nerven u. autonomes Nervensystem (C47);15 - 19;0;8;
1999;periphere Nerven u. autonomes Nervensystem (C47);20 - 24;1;1;
1999;periphere Nerven u. autonomes Nervensystem (C47);25 - 29;1;7;
1999;periphere Nerven u. autonomes Nervensystem (C47);30 - 34;2;11;
1999;periphere Nerven u. autonomes Nervensystem (C47);35 - 39;9;7;
1999;periphere Nerven u. autonomes Nervensystem (C47);40 - 44;1;4;
1999;periphere Nerven u. autonomes Nervensystem (C47);45 - 49;3;2;
1999;periphere Nerven u. autonomes Nervensystem (C47);50 - 54;0;3;
1999;periphere Nerven u. autonomes Nervensystem (C47);55 - 59;2;1;
1999;periphere Nerven u. autonomes Nervensystem (C47);60 - 64;8;4;
1999;periphere Nerven u. autonomes Nervensystem (C47);65 - 69;2;7;
1999;periphere Nerven u. autonomes Nervensystem (C47);70 - 74;2;2;
1999;periphere Nerven u. autonomes Nervensystem (C47);75 - 79;8;12;
1999;periphere Nerven u. autonomes Nervensystem (C47);80 - 84;11;0;
1999;periphere Nerven u. autonomes Nervensystem (C47);85+;2;1;
1999;Retroperitoneum u. Peritoneum (C48);0 - 4;2;2;
1999;Retroperitoneum u. Peritoneum (C48);5 - 9;1;2;
1999;Retroperitoneum u. Peritoneum (C48);10 - 14;2;0;
1999;Retroperitoneum u. Peritoneum (C48);15 - 19;0;0;
1999;Retroperitoneum u. Peritoneum (C48);20 - 24;1;2;
1999;Retroperitoneum u. Peritoneum (C48);25 - 29;0;0;
1999;Retroperitoneum u. Peritoneum (C48);30 - 34;2;1;
1999;Retroperitoneum u. Peritoneum (C48);35 - 39;11;4;
1999;Retroperitoneum u. Peritoneum (C48);40 - 44;1;0;
1999;Retroperitoneum u. Peritoneum (C48);45 - 49;12;7;
1999;Retroperitoneum u. Peritoneum (C48);50 - 54;12;5;
1999;Retroperitoneum u. Peritoneum (C48);55 - 59;14;13;
1999;Retroperitoneum u. Peritoneum (C48);60 - 64;49;35;
1999;Retroperitoneum u. Peritoneum (C48);65 - 69;34;16;
1999;Retroperitoneum u. Peritoneum (C48);70 - 74;41;23;
1999;Retroperitoneum u. Peritoneum (C48);75 - 79;32;15;
1999;Retroperitoneum u. Peritoneum (C48);80 - 84;15;1;
1999;Retroperitoneum u. Peritoneum (C48);85+;52;19;
1999;sonstg. Bindegewebe u. a. Weichteile (C49);0 - 4;16;17;
1999;sonstg. Bindegewebe u. a. Weichteile (C49);5 - 9;7;12;
1999;sonstg. Bindegewebe u. a. Weichteile (C49);10 - 14;10;10;
1999;sonstg. Bindegewebe u. a. Weichteile (C49);15 - 19;11;16;
1999;sonstg. Bindegewebe u. a. Weichteile (C49);20 - 24;24;22;
1999;sonstg. Bindegewebe u. a. Weichteile (C49);25 - 29;12;26;
1999;sonstg. Bindegewebe u. a. Weichteile (C49);30 - 34;27;20;
1999;sonstg. Bindegewebe u. a. Weichteile (C49);35 - 39;45;45;
1999;sonstg. Bindegewebe u. a. Weichteile (C49);40 - 44;61;77;
1999;sonstg. Bindegewebe u. a. Weichteile (C49);45 - 49;65;88;
1999;sonstg. Bindegewebe u. a. Weichteile (C49);50 - 54;38;40;
1999;sonstg. Bindegewebe u. a. Weichteile (C49);55 - 59;154;128;
1999;sonstg. Bindegewebe u. a. Weichteile (C49);60 - 64;121;119;
1999;sonstg. Bindegewebe u. a. Weichteile (C49);65 - 69;147;126;
1999;sonstg. Bindegewebe u. a. Weichteile (C49);70 - 74;119;141;
1999;sonstg. Bindegewebe u. a. Weichteile (C49);75 - 79;142;91;
1999;sonstg. Bindegewebe u. a. Weichteile (C49);80 - 84;97;42;
1999;sonstg. Bindegewebe u. a. Weichteile (C49);85+;80;87;
1999;Brustdrüse (C50);0 - 4;0;0;
1999;Brustdrüse (C50);5 - 9;0;0;
1999;Brustdrüse (C50);10 - 14;0;0;
1999;Brustdrüse (C50);15 - 19;6;0;
1999;Brustdrüse (C50);20 - 24;30;0;
1999;Brustdrüse (C50);25 - 29;192;0;
1999;Brustdrüse (C50);30 - 34;751;1;
1999;Brustdrüse (C50);35 - 39;1.774;10;
1999;Brustdrüse (C50);40 - 44;3.177;19;
1999;Brustdrüse (C50);45 - 49;4.753;17;
1999;Brustdrüse (C50);50 - 54;4.954;34;
1999;Brustdrüse (C50);55 - 59;7.186;65;
1999;Brustdrüse (C50);60 - 64;7.619;37;
1999;Brustdrüse (C50);65 - 69;5.660;72;
1999;Brustdrüse (C50);70 - 74;6.035;61;
1999;Brustdrüse (C50);75 - 79;5.903;63;
1999;Brustdrüse (C50);80 - 84;2.993;29;
1999;Brustdrüse (C50);85+;4.104;31;
1999;Vulva (C51);0 - 4;1;x;
1999;Vulva (C51);5 - 9;0;x;
1999;Vulva (C51);10 - 14;0;x;
1999;Vulva (C51);15 - 19;0;x;
1999;Vulva (C51);20 - 24;17;x;
1999;Vulva (C51);25 - 29;7;x;
1999;Vulva (C51);30 - 34;16;x;
1999;Vulva (C51);35 - 39;39;x;
1999;Vulva (C51);40 - 44;51;x;
1999;Vulva (C51);45 - 49;18;x;
1999;Vulva (C51);50 - 54;36;x;
1999;Vulva (C51);55 - 59;103;x;
1999;Vulva (C51);60 - 64;95;x;
1999;Vulva (C51);65 - 69;101;x;
1999;Vulva (C51);70 - 74;147;x;
1999;Vulva (C51);75 - 79;253;x;
1999;Vulva (C51);80 - 84;186;x;
1999;Vulva (C51);85+;262;x;
1999;Vagina (C52);0 - 4;1;x;
1999;Vagina (C52);5 - 9;0;x;
1999;Vagina (C52);10 - 14;0;x;
1999;Vagina (C52);15 - 19;0;x;
1999;Vagina (C52);20 - 24;0;x;
1999;Vagina (C52);25 - 29;0;x;
1999;Vagina (C52);30 - 34;2;x;
1999;Vagina (C52);35 - 39;3;x;
1999;Vagina (C52);40 - 44;28;x;
1999;Vagina (C52);45 - 49;16;x;
1999;Vagina (C52);50 - 54;37;x;
1999;Vagina (C52);55 - 59;32;x;
1999;Vagina (C52);60 - 64;37;x;
1999;Vagina (C52);65 - 69;55;x;
1999;Vagina (C52);70 - 74;30;x;
1999;Vagina (C52);75 - 79;65;x;
1999;Vagina (C52);80 - 84;54;x;
1999;Vagina (C52);85+;76;x;
1999;Gebärmutterhals (C53);0 - 4;0;x;
1999;Gebärmutterhals (C53);5 - 9;0;x;
1999;Gebärmutterhals (C53);10 - 14;0;x;
1999;Gebärmutterhals (C53);15 - 19;0;x;
1999;Gebärmutterhals (C53);20 - 24;27;x;
1999;Gebärmutterhals (C53);25 - 29;166;x;
1999;Gebärmutterhals (C53);30 - 34;485;x;
1999;Gebärmutterhals (C53);35 - 39;696;x;
1999;Gebärmutterhals (C53);40 - 44;647;x;
1999;Gebärmutterhals (C53);45 - 49;486;x;
1999;Gebärmutterhals (C53);50 - 54;394;x;
1999;Gebärmutterhals (C53);55 - 59;454;x;
1999;Gebärmutterhals (C53);60 - 64;466;x;
1999;Gebärmutterhals (C53);65 - 69;412;x;
1999;Gebärmutterhals (C53);70 - 74;443;x;
1999;Gebärmutterhals (C53);75 - 79;450;x;
1999;Gebärmutterhals (C53);80 - 84;297;x;
1999;Gebärmutterhals (C53);85+;246;x;
